
# OSU MPI-CUDA Broadcast Latency Test v5.9
# Size       Avg Latency(us)
1                       5.25
2                       5.25
4                       5.16
8                       5.28
16                      5.21
32                      5.33
64                      6.20
128                     5.50
256                     5.79
512                     5.84
1024                    6.08
2048                    6.34
4096                    7.43
8192                    6.77
16384                   9.74
32768                  16.90
65536                  37.22
131072                 62.68
262144                115.00
524288                209.42
1048576               344.99
2097152               641.14
4194304              1247.68
8388608              3036.39
16777216             6117.69
33554432            12150.37
