New Instance
New Instance
New Instance
New Instance
Hi Init hello
Hi Init hello
Hi Init hello
Hi Init hello

# OSU MPI-CUDA Broadcast Latency Test
# Size       Avg Latency(us)
1                      41.39
2                      43.04
4                      40.77
8                      57.78
16                     67.57
32                     57.31
64                     56.43
128                    63.33
256                    56.46
512                    57.12
1024                   58.31
2048                   56.23
4096                   74.01
8192                   61.10
16384                  59.80
32768                 102.26
65536                 118.04
131072                148.76
262144                205.30
524288                297.36
1048576               525.63
2097152               801.61
4194304              1381.30
8388608              2919.40
16777216             5788.37
33554432            11277.77
