New Instance
New Instance
Hi Init
Hi Init
# OSU MPI-CUDA Latency Test
# Send Buffer on DEVICE (D) and Receive Buffer on DEVICE (D)
# Size          Latency (us)
0                         1.54
1                         1.53
2                         1.54
4                         1.53
8                         1.54
16                        1.54
32                        1.66
64                        1.77
128                       1.82
256                       2.29
512                       2.30
1024                     22.55
2048                     22.69
4096                     23.34
8192                     24.74
16384                    27.75
32768                    92.25
65536                    97.70
131072                  110.93
262144                  126.25
524288                  154.00
1048576                 208.28
2097152                 326.80
4194304                 611.47
8388608                1303.74
16777216               2574.42
33554432               5052.26
