# OSU MPI-CUDA Latency Test v5.9
# Send Buffer on DEVICE (D) and Receive Buffer on DEVICE (D)
# Size          Latency (us)
0                       2.16
1                       3.60
2                       3.59
4                       3.60
8                       3.60
16                      3.60
32                      3.71
64                      3.86
128                     3.88
256                     3.97
512                     4.08
1024                    4.22
2048                    4.42
4096                    5.03
8192                    6.12
16384                   8.59
32768                  12.88
65536                  17.68
131072                 34.17
262144                 49.96
524288                 82.93
1048576               148.66
2097152               281.22
4194304               679.02
8388608              1361.40
16777216             2684.02
33554432             5338.32

----compression----
8192                     25.26
16384                    28.31
32768                    56.40
65536                    56.69
131072                   57.20
262144                   58.86
524288                   61.83
1048576                  64.51
2097152                  80.77
4194304                 181.35
8388608                 225.42
16777216                484.89
33554432               1245.58

