New Instance
Hi Init
New Instance
Hi Init
# OSU MPI-CUDA Latency Test
# Send Buffer on DEVICE (D) and Receive Buffer on DEVICE (D)
# Size          Latency (us)
0                         1.53
1                         1.52
2                         1.51
4                         1.51
8                         1.54
16                        1.53
32                        1.66
64                        1.76
128                       1.81
256                       2.27
512                       2.27
1024                     22.47
2048                     22.63
4096                     23.29
8192                     24.68
16384                    27.67
32768                    93.34
65536                    98.83
131072                  113.60
262144                  130.89
524288                  161.82
1048576                 223.45
2097152                 353.55
4194304                 681.28
8388608                1431.46
16777216               2811.57
33554432               5491.56
