New Instance
New Instance
Hi Init
Hi Init
# OSU MPI-CUDA Latency Test
# Send Buffer on DEVICE (D) and Receive Buffer on DEVICE (D)
# Size          Latency (us)
0                         1.56
1                         1.55
2                         1.55
4                         1.55
8                         1.56
16                        1.56
32                        1.66
64                        1.78
128                       1.83
256                       2.28
512                       2.30
1024                     23.03
2048                     23.24
4096                     23.86
8192                     25.26
16384                    28.31
32768                    56.40
65536                    56.69
131072                   57.20
262144                   58.86
524288                   61.83
1048576                  64.51
2097152                  80.77
4194304                 181.35
8388608                 225.42
16777216                484.89
33554432               1245.58
