New Instance
New Instance
Hi Init
Hi Init
# OSU MPI-CUDA Latency Test
# Send Buffer on DEVICE (D) and Receive Buffer on DEVICE (D)
# Size          Latency (us)
0                         1.54
1                         1.54
2                         1.53
4                         1.53
8                         1.54
16                        1.54
32                        1.65
64                        1.77
128                       1.83
256                       2.22
512                       2.29
1024                     22.65
2048                     22.58
4096                     23.16
8192                     24.60
16384                    27.61
32768                    64.00
65536                    90.29
131072                  103.26
262144                  116.77
524288                  131.42
1048576                 163.32
2097152                 285.56
4194304                 560.43
8388608                1273.44
16777216               2568.86
33554432               5011.47
